"analysis_protocol","method","design","nominal_fdr","genes","active_genes","calls","precision","recall","directional_recall","realized_fdp","f1","moi","seed","scope"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.001,9475,1956,619,1,0.316462167689162,0.316462167689162,0,0.480776699029126,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.005,9475,1956,872,0.997706422018349,0.44478527607362,0.44478527607362,0.00229357798165138,0.615275813295615,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.01,9475,1956,1007,0.995034756703079,0.512269938650307,0.512269938650307,0.00496524329692155,0.676341545730678,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.05,9475,1956,1360,0.967647058823529,0.67280163599182,0.67280163599182,0.0323529411764706,0.79372738238842,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.1,9475,1956,1544,0.930699481865285,0.734662576687117,0.734662576687117,0.069300518134715,0.821142857142857,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.2,9475,1956,1850,0.858378378378378,0.811860940695297,0.811349693251534,0.141621621621622,0.834471886495008,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.3,9475,1956,2094,0.794173829990449,0.850204498977505,0.849693251533742,0.205826170009551,0.821234567901235,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.5,9475,1956,2760,0.63804347826087,0.900306748466258,0.899284253578732,0.36195652173913,0.746819338422392,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.001,9475,1956,854,1,0.436605316973415,0.436605316973415,0,0.607829181494662,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.005,9475,1956,1089,0.998163452708907,0.555725971370143,0.555725971370143,0.00183654729109275,0.713957307060755,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.01,9475,1956,1205,0.994190871369295,0.612474437627812,0.612474437627812,0.00580912863070539,0.75798797848782,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.05,9475,1956,1478,0.971583220568336,0.734151329243354,0.734151329243354,0.0284167794316644,0.836342457775189,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.1,9475,1956,1651,0.933373712901272,0.787832310838446,0.787832310838446,0.066626287098728,0.854449681175492,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.2,9475,1956,1903,0.864424592748292,0.841002044989775,0.840490797546012,0.135575407251708,0.852552474734387,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.3,9475,1956,2125,0.8,0.869120654396728,0.868609406952965,0.2,0.833129135015928,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.5,9475,1956,2755,0.64464609800363,0.907975460122699,0.906952965235174,0.35535390199637,0.753980046699215,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.001,9475,1956,202,1,0.103271983640082,0.103271983640082,0,0.187210379981464,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.005,9475,1956,472,1,0.241308793456033,0.241308793456033,0,0.388797364085667,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.01,9475,1956,639,0.998435054773083,0.326175869120654,0.326175869120654,0.00156494522691706,0.491714836223507,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.05,9475,1956,1076,0.983271375464684,0.540899795501023,0.540899795501023,0.016728624535316,0.697889182058048,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.1,9475,1956,1283,0.957911145752143,0.628323108384458,0.628323108384458,0.0420888542478566,0.7588761963569,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.2,9475,1956,1598,0.898623279098874,0.734151329243354,0.734151329243354,0.101376720901126,0.808103545301069,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.3,9475,1956,1847,0.834867352463454,0.788343558282209,0.787321063394683,0.165132647536546,0.810938732579543,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.5,9475,1956,2464,0.690746753246753,0.870143149284254,0.869120654396728,0.309253246753247,0.770135746606335,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.001,9475,1956,892,1,0.456032719836401,0.456032719836401,0,0.626404494382023,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.005,9475,1956,1117,0.998209489704566,0.570040899795501,0.570040899795501,0.0017905102954342,0.725675235925805,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.01,9475,1956,1221,0.994266994266994,0.620654396728016,0.620654396728016,0.00573300573300573,0.764242996537614,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.05,9475,1956,1483,0.973027646662171,0.737730061349693,0.737730061349693,0.0269723533378287,0.839197441116604,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.1,9475,1956,1649,0.935112189205579,0.788343558282209,0.788343558282209,0.0648878107944209,0.855478502080444,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.2,9475,1956,1909,0.864850707176532,0.844069529652352,0.843558282208589,0.135149292823468,0.854333764553687,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.3,9475,1956,2134,0.799906279287723,0.872699386503067,0.872188139059305,0.200093720712277,0.834718826405868,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.5,9475,1956,2737,0.649616368286445,0.908997955010225,0.907975460122699,0.350383631713555,0.757724270189644,0.2,20250724,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.001,9475,1956,1250,0.9904,0.632924335378323,0.632924335378323,0.0096,0.772301933873986,0.2,20250724,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.005,9475,1956,1443,0.971586971586972,0.716768916155419,0.716768916155419,0.0284130284130284,0.824948514268903,0.2,20250724,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.01,9475,1956,1537,0.957709824333116,0.752556237218814,0.752556237218814,0.0422901756668835,0.8428285141712,0.2,20250724,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.05,9475,1956,1862,0.875402792696026,0.833333333333333,0.832822085889571,0.124597207303974,0.853850183342064,0.2,20250724,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.1,9475,1956,2131,0.793993430314406,0.865030674846626,0.864519427402863,0.206006569685594,0.827991191583068,0.2,20250724,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.2,9475,1956,2561,0.683717297930496,0.89519427402863,0.893660531697341,0.316282702069504,0.775293336285145,0.2,20250724,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.3,9475,1956,3049,0.588717612331912,0.917689161554192,0.915132924335378,0.411282387668088,0.717282717282717,0.2,20250724,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.5,9475,1956,4112,0.449173151750973,0.944274028629857,0.941717791411043,0.550826848249027,0.608767303889255,0.2,20250724,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.001,9475,1956,1265,0.989723320158103,0.640081799591002,0.640081799591002,0.0102766798418972,0.777398323502018,0.2,20250724,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.005,9475,1956,1455,0.970446735395189,0.721881390593047,0.721881390593047,0.029553264604811,0.82790970389915,0.2,20250724,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.01,9475,1956,1565,0.949520766773163,0.759713701431493,0.759713701431493,0.0504792332268371,0.844078386821926,0.2,20250724,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.05,9475,1956,1903,0.863899106673673,0.840490797546012,0.839979550102249,0.136100893326327,0.852034205752786,0.2,20250724,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.1,9475,1956,2173,0.782328578002761,0.869120654396728,0.868609406952965,0.217671421997239,0.823443933155728,0.2,20250724,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.2,9475,1956,2627,0.672249714503236,0.902862985685072,0.901840490797546,0.327750285496764,0.770674230853153,0.2,20250724,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.3,9475,1956,3097,0.580884727155312,0.919734151329243,0.917689161554192,0.419115272844688,0.712052246190382,0.2,20250724,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.5,9475,1956,4204,0.441484300666032,0.948875255623722,0.945807770961145,0.558515699333968,0.602597402597403,0.2,20250724,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.001,9475,1956,186,1,0.0950920245398773,0.0950920245398773,0,0.173669467787115,0.2,20250724,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.005,9475,1956,439,1,0.224437627811861,0.224437627811861,0,0.366597077244259,0.2,20250724,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.01,9475,1956,453,1,0.23159509202454,0.23159509202454,0,0.376089663760897,0.2,20250724,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.05,9475,1956,978,0.993865030674847,0.496932515337423,0.496932515337423,0.00613496932515337,0.662576687116564,0.2,20250724,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.1,9475,1956,1171,0.993168232280102,0.594580777096115,0.594580777096115,0.00683176771989752,0.743843939878478,0.2,20250724,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.2,9475,1956,1380,0.978985507246377,0.690695296523517,0.690695296523517,0.0210144927536232,0.809952038369305,0.2,20250724,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.3,9475,1956,1511,0.962276637988087,0.743353783231084,0.743353783231084,0.0377233620119126,0.838765503316989,0.2,20250724,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.5,9475,1956,1778,0.899325084364454,0.817484662576687,0.817484662576687,0.100674915635546,0.85645420460632,0.2,20250724,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.001,9475,1956,1366,0.98389458272328,0.687116564417178,0.687116564417178,0.0161054172767204,0.809151113786875,0.2,20250724,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.005,9475,1956,1539,0.961663417803769,0.756646216768916,0.756646216768916,0.0383365821962313,0.84692417739628,0.2,20250724,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.01,9475,1956,1641,0.938452163315052,0.787321063394683,0.787321063394683,0.0615478366849482,0.856269113149847,0.2,20250724,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.05,9475,1956,1986,0.83987915407855,0.852760736196319,0.852249488752556,0.16012084592145,0.846270928462709,0.2,20250724,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.1,9475,1956,2256,0.76063829787234,0.877300613496933,0.875766871165644,0.23936170212766,0.814814814814815,0.2,20250724,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.2,9475,1956,2756,0.643323657474601,0.906441717791411,0.90439672801636,0.356676342525399,0.752546689303905,0.2,20250724,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.3,9475,1956,3256,0.55497542997543,0.923824130879346,0.921267893660532,0.44502457002457,0.693399846508058,0.2,20250724,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.5,9475,1956,4326,0.428802588996764,0.948364008179959,0.94478527607362,0.571197411003236,0.590576249602038,0.2,20250724,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.001,9484,1950,565,0.998230088495575,0.289230769230769,0.289230769230769,0.00176991150442478,0.448508946322068,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.005,9484,1950,823,0.993924665856622,0.41948717948718,0.41948717948718,0.00607533414337789,0.58997475658132,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.01,9484,1950,953,0.991605456453305,0.484615384615385,0.484615384615385,0.00839454354669465,0.651050637271788,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.05,9484,1950,1296,0.967592592592593,0.643076923076923,0.643076923076923,0.0324074074074074,0.77264325323475,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.1,9484,1950,1510,0.931788079470199,0.721538461538462,0.721538461538462,0.0682119205298013,0.813294797687861,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.2,9484,1950,1780,0.869101123595506,0.793333333333333,0.793333333333333,0.130898876404494,0.829490616621984,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.3,9484,1950,2037,0.800687285223368,0.836410256410256,0.836410256410256,0.199312714776632,0.818159016804615,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.5,9484,1950,2804,0.628031383737518,0.903076923076923,0.902051282051282,0.371968616262482,0.740849810685738,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.001,9484,1950,840,0.998809523809524,0.43025641025641,0.43025641025641,0.00119047619047619,0.601433691756272,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.005,9484,1950,1055,0.993364928909953,0.537435897435897,0.537435897435897,0.00663507109004739,0.697504159733777,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.01,9484,1950,1163,0.992261392949269,0.591794871794872,0.591794871794872,0.00773860705073087,0.741407002891102,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.05,9484,1950,1447,0.966136834830684,0.716923076923077,0.716923076923077,0.0338631651693158,0.823079187518399,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.1,9484,1950,1620,0.932716049382716,0.774871794871795,0.774871794871795,0.067283950617284,0.846498599439776,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.2,9484,1950,1891,0.862506610259122,0.836410256410256,0.836410256410256,0.137493389740878,0.849258005727675,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.3,9484,1950,2133,0.790904828879512,0.865128205128205,0.865128205128205,0.209095171120488,0.826353171687485,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.5,9484,1950,2852,0.626928471248247,0.916923076923077,0.915384615384615,0.373071528751753,0.744689712619742,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.001,9484,1950,161,1,0.0825641025641026,0.0825641025641026,0,0.152534343912838,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.005,9484,1950,430,0.997674418604651,0.22,0.22,0.00232558139534884,0.360504201680672,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.01,9484,1950,588,0.993197278911565,0.29948717948718,0.29948717948718,0.00680272108843537,0.460204885736801,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.05,9484,1950,1026,0.976608187134503,0.513846153846154,0.513846153846154,0.0233918128654971,0.673387096774194,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.1,9484,1950,1249,0.959167333867094,0.614358974358974,0.614358974358974,0.0408326661329063,0.748984057517974,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.2,9484,1950,1538,0.906371911573472,0.714871794871795,0.714871794871795,0.093628088426528,0.799311926605505,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.3,9484,1950,1785,0.851540616246499,0.779487179487179,0.779487179487179,0.148459383753501,0.813922356091031,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.5,9484,1950,2466,0.686536901865369,0.868205128205128,0.867692307692308,0.313463098134631,0.766757246376812,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.001,9484,1950,861,0.99883855981417,0.441025641025641,0.441025641025641,0.00116144018583043,0.611881892564923,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.005,9484,1950,1065,0.994366197183099,0.543076923076923,0.543076923076923,0.00563380281690141,0.702487562189055,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.01,9484,1950,1171,0.992314261315115,0.595897435897436,0.595897435897436,0.00768573868488471,0.744633130406921,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.05,9484,1950,1457,0.965682910089224,0.721538461538462,0.721538461538462,0.0343170899107756,0.825946580569416,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.1,9484,1950,1618,0.935105067985167,0.775897435897436,0.775897435897436,0.0648949320148331,0.848094170403587,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.2,9484,1950,1902,0.860147213459516,0.838974358974359,0.838974358974359,0.139852786540484,0.849428868120457,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.3,9484,1950,2146,0.790307548928239,0.86974358974359,0.86974358974359,0.209692451071761,0.828125,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-high",0.5,9484,1950,2841,0.629707849348821,0.917435897435897,0.916923076923077,0.370292150651179,0.746816948445001,0.2,20250725,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.001,9484,1950,1191,0.990764063811923,0.605128205128205,0.605128205128205,0.00923593618807725,0.751353072269978,0.2,20250725,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.005,9484,1950,1382,0.973227206946454,0.68974358974359,0.689230769230769,0.0267727930535456,0.807322929171669,0.2,20250725,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.01,9484,1950,1498,0.959946595460614,0.737435897435897,0.736923076923077,0.0400534045393858,0.834106728538283,0.2,20250725,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.05,9484,1950,1845,0.868834688346883,0.822051282051282,0.821538461538462,0.131165311653117,0.844795783926219,0.2,20250725,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.1,9484,1950,2121,0.794436586515794,0.864102564102564,0.863076923076923,0.205563413484206,0.827806435765168,0.2,20250725,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.2,9484,1950,2581,0.679194110809764,0.898974358974359,0.897948717948718,0.320805889190236,0.773780622379166,0.2,20250725,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.3,9484,1950,3059,0.589408303367113,0.924615384615385,0.923076923076923,0.410591696632887,0.719904172489519,0.2,20250725,"main"
"crispulator-moi-10k-v1","edgeR-QL","low-bulk-high",0.5,9484,1950,4156,0.448748796920115,0.956410256410256,0.953333333333333,0.551251203079885,0.610874549623321,0.2,20250725,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.001,9484,1950,1217,0.990961380443714,0.618461538461539,0.618461538461539,0.00903861955628595,0.761604041679823,0.2,20250725,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.005,9484,1950,1408,0.972301136363636,0.702051282051282,0.702051282051282,0.0276988636363636,0.815366289458011,0.2,20250725,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.01,9484,1950,1515,0.951815181518152,0.739487179487179,0.739487179487179,0.0481848184818482,0.832323232323232,0.2,20250725,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.05,9484,1950,1864,0.86480686695279,0.826666666666667,0.826666666666667,0.13519313304721,0.845306764551652,0.2,20250725,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.1,9484,1950,2144,0.788246268656716,0.866666666666667,0.866666666666667,0.211753731343284,0.825598436736688,0.2,20250725,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.2,9484,1950,2644,0.666414523449319,0.903589743589744,0.902564102564103,0.333585476550681,0.767087505441881,0.2,20250725,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.3,9484,1950,3166,0.571383449147189,0.927692307692308,0.926153846153846,0.428616550852811,0.707193119624707,0.2,20250725,"main"
"crispulator-moi-10k-v1","limma-voom","low-bulk-high",0.5,9484,1950,4212,0.443019943019943,0.956923076923077,0.953333333333333,0.556980056980057,0.605647517039922,0.2,20250725,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.001,9484,1950,419,1,0.214871794871795,0.214871794871795,0,0.353735753482482,0.2,20250725,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.005,9484,1950,500,0.998,0.255897435897436,0.255897435897436,0.002,0.40734693877551,0.2,20250725,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.01,9484,1950,518,0.998069498069498,0.265128205128205,0.265128205128205,0.00193050193050193,0.418962722852512,0.2,20250725,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.05,9484,1950,808,0.997524752475248,0.413333333333333,0.413333333333333,0.00247524752475248,0.584481508339376,0.2,20250725,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.1,9484,1950,1046,0.996175908221797,0.534358974358974,0.534358974358974,0.00382409177820268,0.695594125500668,0.2,20250725,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.2,9484,1950,1303,0.977743668457406,0.653333333333333,0.653333333333333,0.022256331542594,0.783276975099908,0.2,20250725,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.3,9484,1950,1503,0.946107784431138,0.729230769230769,0.729230769230769,0.0538922155688623,0.823631624674196,0.2,20250725,"main"
"crispulator-moi-10k-v1","MAGeCK-MLE","low-bulk-high",0.5,9484,1950,1788,0.892058165548098,0.817948717948718,0.817948717948718,0.107941834451902,0.853397538790797,0.2,20250725,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.001,9484,1950,1315,0.981749049429658,0.662051282051282,0.661538461538462,0.0182509505703422,0.790811638591118,0.2,20250725,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.005,9484,1950,1488,0.961693548387097,0.733846153846154,0.733333333333333,0.0383064516129032,0.832460732984293,0.2,20250725,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.01,9484,1950,1586,0.943883984867591,0.767692307692308,0.767179487179487,0.0561160151324086,0.846719457013575,0.2,20250725,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.05,9484,1950,1976,0.835526315789474,0.846666666666667,0.845641025641026,0.164473684210526,0.841059602649007,0.2,20250725,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.1,9484,1950,2244,0.761140819964349,0.875897435897436,0.874871794871795,0.238859180035651,0.81449690033381,0.2,20250725,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.2,9484,1950,2723,0.649651120088138,0.907179487179487,0.905641025641026,0.350348879911862,0.757115343462444,0.2,20250725,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.3,9484,1950,3317,0.54718118782032,0.930769230769231,0.928717948717949,0.45281881217968,0.689196886273021,0.2,20250725,"main"
"crispulator-moi-10k-v1","DESeq2","low-bulk-high",0.5,9484,1950,4421,0.423433612304908,0.96,0.955897435897436,0.576566387695092,0.587662847276723,0.2,20250725,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.001,9517,1933,543,1,0.280910501810657,0.280910501810657,0,0.438610662358643,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.005,9517,1933,771,0.997405966277562,0.397827211588205,0.397827211588205,0.00259403372243839,0.568786982248521,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.01,9517,1933,896,0.995535714285714,0.461458872219348,0.461458872219348,0.00446428571428571,0.630611523506539,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.05,9517,1933,1224,0.973039215686274,0.616140713916192,0.616140713916192,0.0269607843137255,0.754513778904023,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.1,9517,1933,1419,0.942212825933756,0.691670977754785,0.691153647180548,0.0577871740662438,0.797732696897375,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.2,9517,1933,1713,0.868651488616462,0.769787894464563,0.768753233316089,0.131348511383538,0.816236972024136,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.3,9517,1933,1944,0.809670781893004,0.81427832384894,0.813243662700466,0.190329218106996,0.811968016507609,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-bulk-high",0.5,9517,1933,2566,0.660171473109899,0.876357992757372,0.87325400931195,0.339828526890101,0.753056234718826,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.001,9517,1933,849,1,0.43921365752716,0.43921365752716,0,0.610352264557872,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.005,9517,1933,1063,0.999059266227658,0.549405069839628,0.549405069839628,0.000940733772342427,0.70894526034713,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.01,9517,1933,1160,0.993103448275862,0.595964821520952,0.595964821520952,0.00689655172413793,0.744907856450049,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.05,9517,1933,1424,0.969803370786517,0.714433523021211,0.713916192446974,0.0301966292134831,0.822758415251713,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.1,9517,1933,1572,0.935750636132316,0.760993274702535,0.760475944128298,0.0642493638676845,0.839372325249643,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.2,9517,1933,1823,0.864509051014811,0.815312984997413,0.81427832384894,0.135490948985189,0.839190628328009,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.3,9517,1933,2080,0.790384615384615,0.850491464045525,0.849456802897051,0.209615384615385,0.819337154248692,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-moderated","low-bulk-high",0.5,9517,1933,2796,0.628040057224607,0.908432488360062,0.905845835488877,0.371959942775393,0.742651723408755,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.001,9517,1933,175,1,0.090532850491464,0.090532850491464,0,0.166034155597723,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.005,9517,1933,458,1,0.236937403000517,0.236937403000517,0,0.38310330405688,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.01,9517,1933,615,0.996747967479675,0.317123642007243,0.317123642007243,0.0032520325203252,0.48116169544741,0.2,20250726,"main"
"crispulator-moi-10k-v1","BARCS-original","low-high",0.05,9517,1933,1019,0.98135426889107,0.517330574236937,0.517330574236937,0.0186457311089303,0.677506775067751,0.2,20250726,"main"
