guide	barcode_id	gene	gene_id	class	behavior	knockdown	theoretical_phenotype	library_frequency
g00001	1	GENE0001	1	increasing	linear	1.0	0.11509949233959721	0.0005312265832291426
g00002	2	GENE0001	1	increasing	linear	1.0	0.11509949233959721	0.000623136977598881
g00003	3	GENE0001	1	increasing	linear	0.13333189693437753	0.01534643364982235	0.0008511710871874886
g00004	4	GENE0001	1	increasing	linear	1.0	0.11509949233959721	0.0001857010460110948
g00005	5	GENE0001	1	increasing	linear	1.0	0.11509949233959721	0.0015173974377169438
g00006	6	GENE0002	2	inactive	linear	1.0	0.0	0.0006614860771093778
g00007	7	GENE0002	2	inactive	linear	1.0	0.0	0.000268088201030534
g00008	8	GENE0002	2	inactive	linear	1.0	0.0	0.0006870464055850993
g00009	9	GENE0002	2	inactive	linear	1.0	0.0	0.00026935385641045645
g00010	10	GENE0002	2	inactive	linear	0.08971257689105452	0.0	0.0005175014887323038
g00011	11	GENE0003	3	inactive	linear	1.0	0.0	0.00045957111080610846
g00012	12	GENE0003	3	inactive	linear	0.016596863858396406	0.0	0.0003951316745892437
g00013	13	GENE0003	3	inactive	linear	1.0	0.0	0.0002701597388524105
g00014	14	GENE0003	3	inactive	linear	0.04852002874681787	0.0	8.291229321740567e-5
g00015	15	GENE0003	3	inactive	linear	1.0	0.0	0.0004559981886182771
g00016	16	GENE0004	4	inactive	sigmoidal	1.0	0.0	0.0002564968417780783
g00017	17	GENE0004	4	inactive	sigmoidal	1.0	0.0	0.00021061520872923804
g00018	18	GENE0004	4	inactive	sigmoidal	1.0	0.0	0.0001596721788069572
g00019	19	GENE0004	4	inactive	sigmoidal	0.046771653398369445	0.0	0.0009459986847043669
g00020	20	GENE0004	4	inactive	sigmoidal	1.0	0.0	0.0003064983507053045
g00021	21	GENE0005	5	negcontrol	linear	1.0	0.0	0.0008377669700505365
g00022	22	GENE0005	5	negcontrol	linear	1.0	0.0	0.0005957962580194692
g00023	23	GENE0005	5	negcontrol	linear	1.0	0.0	0.0005003158434018823
g00024	24	GENE0005	5	negcontrol	linear	1.0	0.0	0.00021585505321741906
g00025	25	GENE0005	5	negcontrol	linear	1.0	0.0	0.0007780873428372682
g00026	26	GENE0006	6	inactive	linear	0.09356594209430025	0.0	0.0005367052644669189
g00027	27	GENE0006	6	inactive	linear	0.044813502002041705	0.0	0.0006477716693206225
g00028	28	GENE0006	6	inactive	linear	1.0	0.0	0.0002803481888846122
g00029	29	GENE0006	6	inactive	linear	1.0	0.0	0.00036336209128879087
g00030	30	GENE0006	6	inactive	linear	1.0	0.0	0.0004417871101362842
g00031	31	GENE0007	7	inactive	sigmoidal	1.0	0.0	0.0002473689117058496
g00032	32	GENE0007	7	inactive	sigmoidal	1.0	0.0	0.0009266382543647149
g00033	33	GENE0007	7	inactive	sigmoidal	1.0	0.0	0.0002454803394340185
g00034	34	GENE0007	7	inactive	sigmoidal	1.0	0.0	0.0002084926817415392
g00035	35	GENE0007	7	inactive	sigmoidal	1.0	0.0	0.0012518884064912166
g00036	36	GENE0008	8	inactive	linear	1.0	0.0	0.0002139369638998679
g00037	37	GENE0008	8	inactive	linear	0.09199096030364322	0.0	0.0004912922204749867
g00038	38	GENE0008	8	inactive	linear	1.0	0.0	0.00028444320506465466
g00039	39	GENE0008	8	inactive	linear	1.0	0.0	0.00154990488731058
g00040	40	GENE0008	8	inactive	linear	1.0	0.0	0.00013628920788873967
g00041	41	GENE0009	9	inactive	linear	1.0	0.0	6.860078114849032e-5
g00042	42	GENE0009	9	inactive	linear	1.0	0.0	0.0002599705427070252
g00043	43	GENE0009	9	inactive	linear	1.0	0.0	0.0003263821020584816
g00044	44	GENE0009	9	inactive	linear	1.0	0.0	0.00037314390941078695
g00045	45	GENE0009	9	inactive	linear	1.0	0.0	0.0005319838357989683
g00046	46	GENE0010	10	inactive	linear	1.0	0.0	0.0002992934397604105
g00047	47	GENE0010	10	inactive	linear	0.06333312989713888	0.0	0.00017891008554655414
g00048	48	GENE0010	10	inactive	linear	1.0	0.0	0.00038673116757875146
g00049	49	GENE0010	10	inactive	linear	1.0	0.0	0.00044871266371220665
g00050	50	GENE0010	10	inactive	linear	1.0	0.0	0.00021644459502974365
g00051	51	GENE0011	11	inactive	linear	1.0	0.0	0.0001859916568133379
g00052	52	GENE0011	11	inactive	linear	1.0	0.0	0.00041626920559016667
g00053	53	GENE0011	11	inactive	linear	1.0	0.0	0.0008017932366697413
g00054	54	GENE0011	11	inactive	linear	1.0	0.0	0.0002922487557403606
g00055	55	GENE0011	11	inactive	linear	1.0	0.0	0.0003427799129202717
g00056	56	GENE0012	12	inactive	linear	1.0	0.0	0.0005206413492844751
g00057	57	GENE0012	12	inactive	linear	1.0	0.0	0.0014497937399779804
g00058	58	GENE0012	12	inactive	linear	1.0	0.0	0.0007468591677937584
g00059	59	GENE0012	12	inactive	linear	1.0	0.0	0.00044686321001707207
g00060	60	GENE0012	12	inactive	linear	1.0	0.0	0.0003738353026358538
g00061	61	GENE0013	13	increasing	sigmoidal	1.0	0.7663589551059186	0.0005666696662041404
g00062	62	GENE0013	13	increasing	sigmoidal	1.0	0.7663589551059186	0.000599368175702821
g00063	63	GENE0013	13	increasing	sigmoidal	1.0	0.7663589551059186	0.0006185558452461151
g00064	64	GENE0013	13	increasing	sigmoidal	1.0	0.7663589551059186	0.00029076387447538087
g00065	65	GENE0013	13	increasing	sigmoidal	1.0	0.7663589551059186	0.00029383434188236804
g00066	66	GENE0014	14	inactive	linear	1.0	0.0	0.00029489830421797577
g00067	67	GENE0014	14	inactive	linear	1.0	0.0	0.0006230446802316246
g00068	68	GENE0014	14	inactive	linear	1.0	0.0	0.00019859932250879743
g00069	69	GENE0014	14	inactive	linear	1.0	0.0	0.0003035988840708856
g00070	70	GENE0014	14	inactive	linear	1.0	0.0	0.00021770449646759229
